name,bn_name,number_of_bed,union_id,upazila_id,district_id,organization_type,hospital_type,url,lat,lon
Dhaka Medical College Hospital,ঢাকা মেডিকেল কলেজ হাসপাতাল,1700,null,null,47,GOVERNMENT,COLLEGE,null,null,null
Chittagong Medical College Hospital,চট্টগ্রাম মেডিকেল কলেজ হাসপাতাল,1010,null,null,8,GOVERNMENT,COLLEGE,null,null,null
MAG Osmani Medical College Hospital,মাজ ওসমানী মেডিকেল কলেজ হাসপাতাল,900,null,null,36,GOVERNMENT,COLLEGE,null,null,null
Mymensingh Medical College Hospital,ময়মনসিংহ মেডিকেল কলেজ হাসপাতাল,800,null,null,62,GOVERNMENT,COLLEGE,null,null,null
Sher-e-Bangla Medical College Hospital,শেরে বাংলা মেডিকেল কলেজ হাসপাতাল,600,null,null,33,GOVERNMENT,COLLEGE,null,null,null
Sir Salimullh Medical College Hospital,সীর সালিমুল্লা মেডিকেল কলেজ হাসপাতাল,600,null,null,47,GOVERNMENT,COLLEGE,null,null,null
Rajshahi Medical College Hospital,রাজশাহী মেডিকেল কলেজ হাসপাতাল,550,null,null,15,GOVERNMENT,COLLEGE,null,null,null
Rangpur Medical College Hospital,রংপুর মেডিকেল কলেজ হাসপাতাল,1000,null,null,59,GOVERNMENT,COLLEGE,null,null,null
Bogra Medical College Hospital,বগুড়া মেডিকেল কলেজ হাসপাতাল,500,null,null,14,GOVERNMENT,COLLEGE,null,null,null
Shahid Sohorawardi medical college & hospital,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ এবং হাসপাতাল,375,null,null,47,GOVERNMENT,COLLEGE,null,null,null
Comilla Medical College Hospital,কুমিল্লা মেডিকেল কলেজ হাসপাতাল,500,null,null,1,GOVERNMENT,COLLEGE,null,null,null
Faridpur Medical College Hospital,ফরিদপুর মেডিকেল কলেজ হাসপাতাল,250,null,null,52,GOVERNMENT,COLLEGE,null,null,null
Khulna Medical College Hospital,খুলনা মেডিকেল কলেজ হাসপাতাল,500,null,null,27,GOVERNMENT,COLLEGE,null,null,null
Dinajpur Medical College Hospital,দিনাজপুর মেডিকেল কলেজ হাসপাতাল,250,null,null,54,GOVERNMENT,COLLEGE,null,null,null
Bagerhat Sadar hospital,বাগেরহাট সদর হাসপাতাল,100,null,null,28,GOVERNMENT,DISTRICT,null,null,null
Bandarban Sadar hospital,বান্দরবান সদর হাসপাতাল,100,null,null,11,GOVERNMENT,DISTRICT,null,null,null
Barguna Sadar hospital,বরগুনা সদর হাসপাতাল,100,null,null,35,GOVERNMENT,DISTRICT,null,null,null
General Hospital,জেনারেল হাসপাতাল,100,null,null,33,GOVERNMENT,DISTRICT,null,null,null
Bhola Sadar hospital,ভোলা সদর হাসপাতাল,100,null,null,34,GOVERNMENT,DISTRICT,null,null,null
"250 bed Mohammad Ali Hospital, Bogra","২৫০ বেড মোহাম্মদ আলী হাসপাতাল, বগুড়া",250,null,null,14,GOVERNMENT,DISTRICT,null,null,null
Brahmanbaria Sadar Hospital,ব্রাহ্মণবাড়িয়া সদর হাসপাতাল,250,null,null,3,GOVERNMENT,DISTRICT,null,null,null
Chandpur Sadar hospital,চাঁদপুর সদর হাসপাতাল,200,null,null,6,GOVERNMENT,DISTRICT,null,null,null
Chapai Nowabganj Sadar hospital,চাঁপাইনবাবগঞ্জ সদর হাসপাতাল,100,null,null,18,GOVERNMENT,DISTRICT,null,null,null
Chittagong General Hospital,চট্টগ্রাম জেনারেল হাসপাতাল,150,null,null,8,GOVERNMENT,DISTRICT,null,null,null
Chuadanga Sadar hospital,চুয়াডাঙ্গা সদর হাসপাতাল,100,null,null,24,GOVERNMENT,DISTRICT,null,null,null
General Hospital,জেনারেল হাসপাতাল,100,null,null,1,GOVERNMENT,DISTRICT,null,null,null
"Adhunic Sadar Hospital, Coxs Bazar","আধুনিক সদর হাসপাতাল, কক্সবাজার",250,null,null,9,GOVERNMENT,DISTRICT,null,null,null
