id,name,bn_name,description,address,url
1,BRAC,ব্র্যাক,"One of the largest NGOs in the world, operating in various sectors including public health.","75 Mohakhali, Dhaka 1212, Bangladesh",https://www.brac.net
2,"icddr,b",আইসিডিডিআরবি,"Research organization focusing on public health research in areas like infectious diseases, maternal health, and nutrition.","68 Shaheed Tajuddin Ahmed Ave, Dhaka 1212, Bangladesh",https://www.icddrb.org
3,Marie Stopes Bangladesh,মেরি স্টোপস বাংলাদেশ,"Provides sexual and reproductive health services, including family planning and maternal health.","House 6/2, Block F, Lalmatia Housing Estate, Dhaka 1207, Bangladesh",https://www.mariestopes-bd.org
4,Gonoshasthaya Kendra,গণস্বাস্থ্য কেন্দ্র,Public health organization providing affordable healthcare services to rural and underprivileged communities.,"Savar, Dhaka, Bangladesh",http://www.gonoshasthayakendra.com
5,Bangladesh Red Crescent Society,বাংলাদেশ রেড ক্রিসেন্ট সোসাইটি,"Works in disaster management, health services, and community development.","684-686, Red Crescent Sarak, Bara Moghbazar, Dhaka 1217, Bangladesh",https://www.bdrcs.org
6,Friendship,ফ্রেন্ডশিপ,"NGO working in remote communities, offering health services and education. Operates floating hospitals.","House 5, Road 2A, Block J, Baridhara, Dhaka 1212, Bangladesh",https://friendship.ngo
7,Naripokkho,নারীপক্ষ,Women's activist organization focusing on women's rights and health.,"18/3 Topkhana Road, Dhaka 1000, Bangladesh",http://www.naripokkho.org
8,CARE Bangladesh,কেয়ার বাংলাদেশ,"Works on public health issues, including maternal health and HIV/AIDS prevention.","RAOWA Complex, VIP Road, Mohakhali, Dhaka 1206, Bangladesh",https://www.carebangladesh.org
9,Ashar Alo Society,আশার আলো সোসাইটি,"Improves the lives of people living with HIV/AIDS by providing care, support, and awareness programs.","House 18/1, Block B, Lalmatia, Dhaka 1207, Bangladesh",http://www.asharalo.org
10,Hope Foundation for Women and Children of Bangladesh,হোপ ফাউন্ডেশন ফর উইমেন এন্ড চিলড্রেন অফ বাংলাদেশ,"Provides healthcare services to underserved communities, focusing on maternal and child health.","House 48, Road 10A, Dhanmondi, Dhaka 1209, Bangladesh",http://www.hopeforbangladesh.org
11,Shakti Foundation,শক্তি ফাউন্ডেশন,"Empowers underprivileged women through health, microfinance, and social development programs.","House 2/10, Block C, Lalmatia, Dhaka 1207, Bangladesh",http://www.shakti.org.bd
12,Society for Health Extension and Development (SHED),সোসাইটি ফর হেলথ এক্সটেনশন এন্ড ডেভেলপমেন্ট (এসএইচইডি),"Focuses on public health and WASH initiatives, particularly in Rohingya refugee camps.","House 45, Road 9/A, Dhanmondi, Dhaka 1209, Bangladesh",http://www.shedbd.org
13,Bandhu Social Welfare Society,বন্ধু সোশ্যাল ওয়েলফেয়ার সোসাইটি,"Ensures health and rights for sexual minorities, offering HIV/AIDS prevention and support services.","99 Kakrail, Dhaka 1000, Bangladesh",http://www.bandhu-bd.org
14,Dhaka Ahsania Mission (DAM),ঢাকা আহসানিয়া মিশন,"Provides education, health, and economic services, focusing on cancer treatment and prevention.","House 19, Road 12, Dhanmondi, Dhaka 1209, Bangladesh",http://www.ahsaniamission.org.bd
15,Palli Karma-Sahayak Foundation (PKSF),পল্লী কর্ম-সহায়ক ফাউন্ডেশন (পিকেএসএফ),"Provides funding and capacity building to NGOs, focusing on healthcare, nutrition, and disaster management.","PKSF Bhaban, E-4/B Agargaon, Dhaka 1207, Bangladesh",http://www.pksf-bd.org
16,Leprosy Mission International Bangladesh,লেপ্রসি মিশন ইন্টারন্যাশনাল বাংলাদেশ,"Provides treatment and support for those affected by leprosy, focusing on healthcare and rehabilitation.","House 32, Road 18, Banani, Dhaka 1213, Bangladesh",http://www.leprosymission.org
